,Air_Temp_DEGC,Soil_Temp_DEGC,Soil_Classification,Crop,Fert_Ammend_Class,target
16,0.0,0.0,6.0,0.0,3.0,896.9026549
1858,12.97,0.0,1.0,1.0,2.0,2453.816056
211,0.0,0.0,6.0,0.0,0.0,636.5474228999999
4241,0.0,20.38888889,8.0,1.0,3.0,4494.138
6214,0.0,0.0,4.0,4.0,3.0,0.0
6867,0.0,0.0,4.0,3.0,1.0,0.0
7058,0.0,0.0,4.0,3.0,1.0,0.0
5710,0.0,0.0,4.0,4.0,3.0,0.0
4438,0.0,9.94444444,8.0,1.0,3.0,8822.3496
22,0.0,0.0,6.0,0.0,3.0,890.3820127
6500,0.0,0.0,4.0,4.0,3.0,0.0
3332,0.0,0.0,2.0,0.0,3.0,36894.70122
2253,18.42,0.0,1.0,1.0,2.0,9020.870447
5375,0.0,0.0,0.0,0.0,3.0,0.0
6569,0.0,0.0,4.0,3.0,1.0,0.0
5276,0.0,0.0,4.0,4.0,3.0,0.0
5435,0.0,0.0,4.0,4.0,3.0,0.0
3480,27.63333333,22.825,2.0,0.0,1.0,38658.21883
6883,0.0,0.0,4.0,3.0,1.0,0.0
5398,0.0,0.0,4.0,0.0,3.0,0.0
1715,10.1,0.0,1.0,1.0,3.0,2005.806252
4804,0.0,7.55555556,8.0,1.0,3.0,5155.7129
15,0.0,0.0,6.0,0.0,3.0,880.3583031
6283,0.0,0.0,4.0,4.0,3.0,0.0
1361,31.0375,26.95,7.0,3.0,1.0,3108.839605
5456,0.0,0.0,0.0,0.0,3.0,0.0
1986,18.15,0.0,1.0,1.0,3.0,8278.473863
4701,0.0,18.16666667,8.0,1.0,3.0,2744.6694
6171,0.0,0.0,4.0,0.0,1.0,0.0
7433,0.0,0.0,4.0,3.0,1.0,0.0
2189,7.745,0.0,1.0,1.0,2.0,2909.394677
7332,0.0,0.0,4.0,3.0,1.0,0.0
5668,0.0,0.0,4.0,4.0,3.0,0.0
3821,25.33333333,21.95,2.0,0.0,2.0,17515.38148
2255,18.42,0.0,1.0,1.0,2.0,6190.456721000001
7152,0.0,0.0,4.0,3.0,1.0,0.0
4041,29.66666667,24.775,2.0,0.0,3.0,9398.72738
5248,0.0,0.0,0.0,0.0,3.0,0.0
4287,0.0,19.27777778,8.0,1.0,3.0,12630.73
5682,0.0,0.0,4.0,0.0,1.0,0.0
2181,9.17,0.0,1.0,1.0,1.0,904.6908323
6364,0.0,0.0,4.0,4.0,3.0,0.0
1540,12.6,0.0,1.0,1.0,1.0,4458.115345
4375,0.0,11.83333333,8.0,1.0,3.0,5881.03
4815,0.0,13.61111111,8.0,1.0,3.0,0.0
6004,0.0,0.0,4.0,0.0,1.0,0.0
4789,0.0,14.94444444,8.0,1.0,3.0,5842.3198
6510,0.0,0.0,4.0,0.0,1.0,0.0
7806,0.0,0.0,4.0,3.0,1.0,0.0
5896,0.0,0.0,4.0,0.0,1.0,0.0
7770,0.0,0.0,4.0,3.0,1.0,0.0
5846,0.0,0.0,4.0,0.0,1.0,0.0
7626,0.0,0.0,4.0,3.0,1.0,0.0
